name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
layer3.0.downsample.0,"kernel=1x1,stride=2x2,pad=0x0,num_out=1024","[1, 512, 28, 28]","[1, 1024, 14, 14]",102760448,102760448,0,205520896,524288,200704
layer3.0.downsample.1,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
layer3.0.relu,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",0,0,200704,200704,0,200704
layer3.1.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 1024, 14, 14]","[1, 256, 14, 14]",51380224,51380224,0,102760448,262144,50176
layer3.1.bn1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.1.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.1.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=256","[1, 256, 14, 14]","[1, 256, 14, 14]",115605504,115605504,0,231211008,589824,50176
layer3.1.bn2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.1.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.1.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=1024","[1, 256, 14, 14]","[1, 1024, 14, 14]",51380224,51380224,0,102760448,262144,200704
layer3.1.bn3,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
layer3.1.relu,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",0,0,200704,200704,0,200704
layer3.2.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 1024, 14, 14]","[1, 256, 14, 14]",51380224,51380224,0,102760448,262144,50176
layer3.2.bn1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.2.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.2.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=256","[1, 256, 14, 14]","[1, 256, 14, 14]",115605504,115605504,0,231211008,589824,50176
layer3.2.bn2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.2.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.2.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=1024","[1, 256, 14, 14]","[1, 1024, 14, 14]",51380224,51380224,0,102760448,262144,200704
layer3.2.bn3,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
layer3.2.relu,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",0,0,200704,200704,0,200704
layer3.3.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 1024, 14, 14]","[1, 256, 14, 14]",51380224,51380224,0,102760448,262144,50176
layer3.3.bn1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.3.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.3.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=256","[1, 256, 14, 14]","[1, 256, 14, 14]",115605504,115605504,0,231211008,589824,50176
layer3.3.bn2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.3.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.3.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=1024","[1, 256, 14, 14]","[1, 1024, 14, 14]",51380224,51380224,0,102760448,262144,200704
layer3.3.bn3,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
layer3.3.relu,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",0,0,200704,200704,0,200704
layer3.4.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 1024, 14, 14]","[1, 256, 14, 14]",51380224,51380224,0,102760448,262144,50176
layer3.4.bn1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.4.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.4.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=256","[1, 256, 14, 14]","[1, 256, 14, 14]",115605504,115605504,0,231211008,589824,50176
layer3.4.bn2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.4.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.4.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=1024","[1, 256, 14, 14]","[1, 1024, 14, 14]",51380224,51380224,0,102760448,262144,200704
layer3.4.bn3,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
layer3.4.relu,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",0,0,200704,200704,0,200704
layer3.5.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 1024, 14, 14]","[1, 256, 14, 14]",51380224,51380224,0,102760448,262144,50176
layer3.5.bn1,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.5.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.5.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=256","[1, 256, 14, 14]","[1, 256, 14, 14]",115605504,115605504,0,231211008,589824,50176
layer3.5.bn2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.5.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.5.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=1024","[1, 256, 14, 14]","[1, 1024, 14, 14]",51380224,51380224,0,102760448,262144,200704
layer3.5.bn3,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
layer3.5.relu,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",0,0,200704,200704,0,200704
